Odmiana,"Kwaśność/Słodkość (0 = bardzo kwaśne, 10 = bardzo słodkie","Chrupkość/Miękkość Miąższu (0 = miaższ twardy, chrupki; 10 = miąższ miękki, delikatny)",Opis skórki,Opis miąższu
Antonówka,4.00,6.00,"Skórka gładka, błyszcząca","Miąższ jasny, soczysty"
Reneta Szara,2.00,7.00,"Skórka pokryta szarawym, chropowatym nalotem","Miąższ winny, o korzennym aromacie"
Lobo,5.50,7.50,"Skórka gładka, błyszcząca","Miąższ zielonkawokremowy, kruchy, bardzo soczysty"
Ligol,8.00,2.00,"Skórka mocna, gładka i błyszcząca","Miąższ kremowy, soczysty, jędrny, aromatyczny"
Golden Delicious,7.00,4.00,"Skórka lekko błyszcząca, zielonkawożółta lub żółta","Miąższ soczysty, kruchy, winno-słodki"
Gala,9.00,2.50,"Żebrowanie przy kielichu, skórka pokryta marmurkowym rumieńcem","Miąższ kremowożółty, soczysty, chrupki"
Idared,3.00,5.00," Skórka mocna, gruba i błyszcząca","Miąższ biały, lekko kremowy, drobnoziarnisty, soczysty"
Papierówka,3.00,9.00,"Skórka cienka, gładka, sucha","Miąższ bardzo delikatny, zielonkawobiały"
Gloster,4.00,3.00,"Skórka lekko błyszcząca, zielonkawożółta z rozległym rumieńcem","Miąższ średnioziarnisty, kruchy, białokremowy"
Jonagold,5.50,6.00,Skórka średniej grubości,"Miąższ żółty, gruboziarnisty, ścisły, soczysty"
Szampion,7.00,7.00,"Skórka gładka, zielonkawożółta, pokryta rozmyto-paskowanym rumieńcem","Miąższ soczysty, aromatyczny"
Granny Zielone (nie produkowane w PL),7.00,4.5,"Skórka gładka, tłustawa i lśniąca","Miąższ zielonkawobiały, soczysty i jędrny"
Cortland,6.00,6.00,"Skórka cienka, o karminowym rumieńcu"," Miąższ biały, drobnoziarnisty, kruchy"
Jonatan,7.00,4.00,"Skórka mocna, błyszcząca, ze smużkowatym rumieńcem","Miąższ kremowo-biały, aromatyczny, ścisły"
Red Prince,5.50,6.00,"Skórka błyszcząca, mocna, w 95% pokryta bordowym rumieńcem","Miąższ kremowożółty, ścisły i twardy"
Red Delicious,7.00,4.00,"Skórka intensywnie bordowa, błyszcząca","Miąższ chrupiący, soczysty"
Alwa,4.00,4.50,Skórka zielonkawożółta z dużym czerwonym rumieńcem,"Miąższ chrupki, soczysty"
Elize,7.00,3.00,"Skórka gładka, sucha","Miąższ białozielony, soczysty, aromatyczny"
Pinova,5.00,2.50,"Skórka sucha, zielonożółta, ok. 75% rumieńca","Miąższ średnio zwarty, żółtawy"